Designator,Mid X,Mid Y,Rotation,Layer
C201,32.814466,-49.994466,90.0,top
C202,47.975,-25.275,270.0,top
C203,46.325,-25.275,270.0,top
C204,29.751966,-41.174466,180.0,top
C205,26.751966,-44.724466,90.0,top
C206,28.434466,-54.615534,180.0,top
C207,39.4,-10.4,270.0,top
C208,46.0,-10.25,270.0,top
C301,23.024466,-18.304467,90.0,top
C302,24.524466,-18.304467,90.0,top
C303,32.85,-27.5,180.0,top
C304,36.25,-18.55,270.0,top
C305,27.75,-15.7,0.0,top
C306,24.315,-22.55,90.0,top
C307,22.815,-23.05,90.0,top
C308,21.115,-23.05,90.0,top
C309,20.78,-19.86,180.0,top
C310,18.49,-19.9,0.0,top
C311,48.85,-18.025,180.0,top
C312,5.140001,-17.975,0.0,top
C313,12.9,-7.15,90.0,top
C401,16.1,-50.25,0.0,top
C402,20.7,-47.55,180.0,top
C403,17.939466,-47.314466,90.0,top
C404,21.614466,-54.104466,0.0,top
C405,19.964466,-53.654466,90.0,top
C406,15.625,-51.775,270.0,top
C407,11.4,-49.8,90.0,top
C408,15.65,-44.25,0.0,top
C409,12.139466,-36.984466,270.0,top
C410,13.489466,-36.984466,270.0,top
C411,14.739466,-34.909466,180.0,top
C412,14.164466,-33.559466,180.0,top
C413,7.3,-32.355002,180.0,top
C414,8.964466,-44.734466,180.0,top
C415,12.139466,-40.434466,90.0,top
C416,13.514466,-40.409466,90.0,top
C501,38.824464,-48.609466,180.0,top
C502,39.604466,-33.514466,0.0,top
C503,40.179466,-34.914466,0.0,top
C504,37.049464,-51.484465,270.0,top
C505,40.899464,-46.559465,0.0,top
C506,42.95,-50.05,0.0,top
C507,38.704466,-37.364466,270.0,top
D201,55.7,-10.1,180.0,top
D301,5.190001,-20.8,90.0,top
D302,25.194466,-3.934466,90.0,top
D303,24.0,-10.4,180.0,top
D304,20.6,-10.4,0.0,top
D305,17.190001,-10.4,0.0,top
D306,15.55,-7.65,90.0,top
D401,18.639466,-56.789466,180.0,top
D501,43.689466,-56.589466,180.0,top
FL301,42.125,-20.56,180.0,top
J301,57.499466,-21.054466,90.0,top
J302,20.394466,-4.934466,270.0,top
J401,17.639466,-77.434466,180.0,top
J501,42.639466,-77.434466,180.0,top
L201,47.15,-23.2,180.0,top
L202,43.664999,-5.55,0.0,top
L301,21.965,-25.2,180.0,top
R201,30.726966,-38.149466,270.0,top
R202,31.254466,-52.964466,0.0,top
R203,28.874466,-52.954466,0.0,top
R204,42.85,-13.330166,0.0,top
R205,56.1,-11.45,0.0,top
R206,40.417321,-13.330166,0.0,top
R301,30.009999,-15.7,180.0,top
R302,27.2,-27.45,0.0,top
R303,56.05,-27.25,180.0,top
R304,56.05,-14.975,180.0,top
R305,18.47,-21.15,0.0,top
R306,38.275,-19.68,270.0,top
R307,36.374466,-25.154467,90.0,top
R308,7.95,-19.55,180.0,top
R309,23.45,-12.0,0.0,top
R310,7.95,-23.6,180.0,top
R311,21.15,-12.0,180.0,top
R312,18.75,-12.0,0.0,top
R313,7.990001,-22.05,180.0,top
R314,13.95,-7.15,270.0,top
R401,22.6,-53.0,0.0,top
R402,17.664466,-54.754466,90.0,top
R403,17.7,-51.5,180.0,top
R404,14.525,-50.775,90.0,top
R405,12.939466,-50.289466,180.0,top
R406,14.125,-44.75,90.0,top
R407,18.789466,-53.654466,270.0,top
R408,17.125,-44.75,90.0,top
R409,8.1,-34.290001,270.0,top
R410,16.5,-31.55,90.0,top
R501,40.4,-44.5,270.0,top
R502,40.424464,-48.109466,270.0,top
R503,41.95,-48.609466,0.0,top
R504,42.539466,-52.564466,270.0,top
R505,41.904466,-31.414466,270.0,top
R506,42.7,-43.5,0.0,top
U201,30.739466,-44.899466,180.0,top
U202,30.044466,-50.511966,180.0,top
U203,42.726966,-10.479466,0.0,top
U301,30.274466,-21.554467,270.0,top
U302,48.405,-20.56,0.0,top
U401,21.164466,-50.214466,270.0,top
U402,15.289466,-47.801966,180.0,top
U403,15.939466,-38.709466,90.0,top
U404,9.039466,-42.134466,0.0,top
U501,39.774464,-51.021966,0.0,top
U502,41.404466,-38.789466,90.0,top
Y301,19.47,-17.4,180.0,top
